Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M
-0.9365075680508748,-0.9351114290677269,0.24827945357790177,0.27176581416493373,-1.6975337647406286,0,0,0,0,0,0,False,False,True
-0.886191425734279,-0.8677846863722299,-0.8622954640184192,0.6749312550664652,-1.6498066445009074,0,0,0,0,0,0,False,True,False
-0.9365075680508748,-1.0024381717632622,-0.1633322291675878,1.0320206455792507,-1.6179885643410934,0,0,0,0,0,0,False,True,False
-0.886191425734279,-0.9351114290677269,-0.6681390098931882,-0.10836160154222432,-1.5861704841812791,0,0,0,0,0,0,False,True,False
-0.886191425734279,-0.8677846863722299,-0.8622954640184192,-0.05076653855629124,-1.5543524040214651,0,0,0,0,0,0,False,True,False
-0.9365075680508748,-0.9351114290677269,-0.7302690752132621,0.16809470079025432,-1.5225343238616509,0,0,0,0,0,0,False,False,True
-0.9365075680508748,-0.9351114290677269,0.30264326073296643,0.2256897637761874,-1.4748072036219297,0,0,0,0,0,0,False,True,False
-0.9365075680508748,-0.9351114290677269,0.06188925761768008,-0.02772851336191768,-1.4429891234621155,0,0,0,0,0,0,False,True,False
-0.8358752834176545,-0.8677846863722299,1.1491654007189733,-1.3639339746355654,-1.4111710433023015,0,0,0,0,0,0,False,False,True
-0.7352429987844343,-0.6658044582856624,1.723868504929657,-1.4330480502186853,-1.36344392306258,0,0,0,0,0,0,False,False,True
-0.7855591411010587,-0.7331312009811977,2.0422850896950355,-1.9053275667033367,-1.315716802822859,0,0,0,0,0,0,True,False,False
-0.6849268564678099,-0.5984777155901272,-0.7458015915432806,0.44455100312273294,-1.2361716024233236,0,0,0,0,0,0,True,False,False
-0.6849268564678099,-0.5984777155901272,-1.3981672774040566,1.2278438597314234,-1.1566264020237884,0,0,0,0,0,0,False,False,True
-0.6849268564678099,-0.5311509728946302,1.731634763094666,-1.202667798274953,-1.108899281784067,0,0,0,0,0,0,False,False,True
-0.6849268564678099,-0.5311509728946302,0.17838313009281864,0.9168305196073844,-1.0293540813845317,0,0,0,0,0,0,False,True,False
-0.6849268564678099,-0.5311509728946302,-1.6156225060243152,0.7094882928580256,-0.9975360012247176,0,0,0,0,0,0,False,False,True
-0.6346107141512141,-0.5311509728946302,-0.8467629476884007,0.5942981668861594,-0.9498088809849964,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.5311509728946302,-1.6544537968493613,1.6194902880357682,-0.9020817607452752,0,0,0,0,0,0,True,False,False
-0.5339784295179938,-0.4638242301990949,0.8773463649436499,-0.9146924833452875,-0.8225365603457399,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.4638242301990949,-1.118581983463724,0.26024680156774777,-0.7748094401060186,0,0,0,0,0,0,True,False,False
-0.5842945718345897,-0.4638242301990949,-0.5361126210880311,0.5021460661086661,-0.6952642397064833,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.4638242301990949,0.4812671985281789,-1.1220347100946466,-0.6634461595466692,0,0,0,0,0,0,False,False,True
-0.48366228720136945,-0.3964974875035979,1.8558948937348139,-1.6979853399539775,-0.6157190393069479,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.3964974875035979,0.32594203522799414,-0.36177987868033024,-0.5839009591471338,0,0,0,0,0,0,False,False,True
-0.48366228720136945,-0.3291707448080627,2.6558194847307655,-1.9744416422864561,-0.5361738389074127,0,0,0,0,0,0,False,True,False
-0.433346144884745,-0.3291707448080627,-0.054604614857458475,-0.1659566645281574,-0.5043557587475985,0,0,0,0,0,0,False,True,False
-0.433346144884745,-0.3964974875035979,2.2675065764803035,-1.8246944785230301,-0.47253767858778434,0,0,0,0,0,0,True,False,False
-0.433346144884745,-0.3964974875035979,-0.6215414609031328,0.433031990525547,-0.392992478188249,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.3964974875035979,1.3510881130092134,-1.191148785677766,-0.3611743980284349,0,0,0,0,0,0,False,True,False
-0.433346144884745,-0.3291707448080627,-1.3981672774040566,0.8937924944130117,-0.32935631786862074,0,0,0,0,0,0,False,False,True
-0.48366228720136945,-0.3964974875035979,2.166545220335183,-1.7210233651483506,-0.28162919762889954,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.3964974875035979,-0.7768666242033175,0.9053115070101976,-0.24981111746908538,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.4638242301990949,1.1336328843889547,-0.9146924833452875,-0.21799303730927125,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,0.3104095188979757,-0.6612742062071816,-0.18617495714945712,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.5311509728946302,-0.5205801047580128,0.939868544801758,-0.1384478369097359,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.5311509728946302,0.4812671985281789,-0.4308939542634493,-0.09072071667001469,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.5984777155901272,-0.6215414609031328,-0.14291863933378385,-0.04299359643029348,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.5311509728946302,-1.087516950803687,1.1817678093426771,-0.011175516270479344,0,0,0,0,0,0,True,False,False
-0.5842945718345897,-0.5984777155901272,-1.3127384375889548,1.3891100360920359,0.068369684129056,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,-1.219543339608844,0.5712601416917858,0.10018776428887013,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,-1.1729457906187886,1.1932868219398631,0.13200584444868427,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,-1.1729457906187886,0.997463607787691,0.16382392460849843,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.5311509728946302,-1.1418807579587518,0.9283495322045712,0.21155104484821963,0,0,0,0,0,0,True,False,False
-0.5842945718345897,-0.5984777155901272,-0.36525494145782794,0.813159406232705,0.29109624524775496,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.5984777155901272,-0.23322855265267092,0.997463607787691,0.33882336548747616,0,0,0,0,0,0,False,True,False
-0.6346107141512141,-0.6658044582856624,2.516026837760599,-1.6864663273567908,0.3706414456472903,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.5984777155901272,-0.7846328823683267,0.6749312550664652,0.41836856588701155,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5311509728946302,-0.7302690752132621,1.5503762124526483,0.4501866460468257,0,0,0,0,0,0,True,False,False
-0.5339784295179938,-0.5311509728946302,-0.8312304313583821,0.42151297792836023,0.529731846446361,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.5984777155901272,-1.05645191814365,1.6655663384245145,0.6092770468458963,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.6658044582856624,-0.17109848733259703,0.38695594013679985,0.6410951270057105,0,0,0,0,0,0,True,False,False
-0.6346107141512141,-0.6658044582856624,0.3570070678880311,-0.6151981558184353,0.7206403274052459,0,0,0,0,0,0,False,True,False
-0.6346107141512141,-0.6658044582856624,1.335555596679195,-1.191148785677766,0.75245840756506,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,-0.054604614857458475,0.029866549624015405,0.7842764877248741,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,-0.3264236506327818,0.2256897637761874,0.8160945678846883,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,-0.04683835669244924,-0.016209500764731717,0.8479126480445024,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.6658044582856624,1.102567851728918,-1.260262861260886,0.8797307282043165,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.5984777155901272,-1.0952832089686964,1.6079712754385813,0.9274578484440377,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.5984777155901272,-0.9787893364935577,1.4006290486892226,0.9592759286038519,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.6658044582856624,0.5666960383432805,-0.25810876530565,0.991094008763666,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.6658044582856624,2.4072992234504698,-2.020517692675203,1.0388211290033873,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.6658044582856624,2.2752728346453126,-1.6749473147596043,1.0706392091632013,0,0,0,0,0,0,False,False,True
-0.48366228720136945,-0.5984777155901272,0.030824224957643132,-0.2120327149169037,1.1183663294029225,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.5984777155901272,-0.9710230783285485,0.5367031039002264,1.1501844095627367,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.7331312009811977,1.2423604986990842,-1.352414962038379,1.1820024897225507,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.7331312009811977,-0.41185249044788336,0.42151297792836023,1.229729609962272,0,0,0,0,0,0,True,False,False
-0.5842945718345897,-0.7331312009811977,0.06188925761768008,-0.9262114959424743,1.3092748103618075,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.5984777155901272,-0.5205801047580128,0.5827791542889726,1.420638090921157,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.5984777155901272,-1.1651795324537795,0.45607001571991973,1.452456171080971,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.5984777155901272,0.5666960383432805,-0.6267171684156221,1.4842742512407852,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.6658044582856624,0.6365923618283637,-0.937730508539661,1.5160923314005992,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.7331312009811977,-1.087516950803687,0.7210073054552124,1.5479104115604134,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.7331312009811977,-0.4506837812729296,0.8592354566214513,1.5797284917202274,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.7331312009811977,-0.9399580456685115,1.2739199101201697,-1.6975337647406286,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.7331312009811977,-0.9088930130084746,-0.29266580309721035,-1.6657156845808145,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.8004579436766946,-0.5749439119130774,1.0896157085651836,-1.6338976044210003,0,0,0,0,0,0,True,False,False
-0.5339784295179938,-0.7331312009811977,-0.5361126210880311,0.813159406232705,-1.5543524040214651,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.7331312009811977,-0.5128138465930034,0.041385562221201364,-1.5225343238616509,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.6658044582856624,-0.38855371595285565,-0.03924752595910446,-1.4907162437018369,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.7331312009811977,-0.7535678497082898,0.8246784188298918,-1.4588981635420226,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.6658044582856624,2.2131427693252386,-1.5712762013849246,-1.4270800833822084,0,0,0,0,0,0,False,False,True
-0.48366228720136945,-0.6658044582856624,-0.6448402353981605,0.39847495273398664,-1.3793529631424872,0,0,0,0,0,0,True,False,False
-0.48366228720136945,-0.6658044582856624,0.19391564642283712,-0.9953255715255938,-1.2998077627429518,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.6658044582856624,-0.7768666242033175,0.5482221164974131,-1.2679896825831378,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.7331312009811977,-0.2487610689826894,-0.10836160154222432,-1.2202625623434167,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.7331312009811977,1.8170636029097678,-1.6864663273567908,-1.1725354421036953,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.7331312009811977,2.415065481615479,-1.7901374407314705,-1.1407173619438813,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.7331312009811977,1.6151408906195275,-1.5367191635933646,-1.108899281784067,0,0,0,0,0,0,False,False,True
-0.433346144884745,-0.6658044582856624,-0.5361126210880311,0.29480383935930726,-1.061172161544346,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.7331312009811977,0.7996837832935576,-0.9838065589284074,-1.0293540813845317,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.6658044582856624,-1.3049721794239457,1.3545529983004763,-0.9975360012247176,0,0,0,0,0,0,False,False,True
-0.48366228720136945,-0.6658044582856624,0.4346696495381235,-0.5921601306240626,-0.9498088809849964,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.7331312009811977,1.79376482841474,-1.2141868108721396,-0.9020817607452752,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.8004579436766946,0.07742177394769856,-0.8916544581509139,-0.854354640505554,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.8004579436766946,0.030824224957643132,0.45607001571991973,-0.8225365603457399,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.7331312009811977,2.5859231612456823,-1.7786184281342838,-0.7907184801859257,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.8004579436766946,0.2793444862379387,0.018347537026828623,-0.7270823198662975,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.8004579436766946,-0.6060089445731143,0.0068285244296418445,-0.6952642397064833,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.8677846863722299,-0.5361126210880311,0.34087988974805356,-0.6475371194667621,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.8677846863722299,0.5589297801782712,-1.0759586597058999,-0.6157190393069479,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.8677846863722299,-0.5749439119130774,0.9283495322045712,-0.5839009591471338,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.8004579436766946,-0.17109848733259703,0.7325263180523983,-0.5520828789873197,0,0,0,0,0,0,False,False,True
-0.5339784295179938,-0.8004579436766946,0.7919175251285484,-0.8916544581509139,-0.5043557587475985,0,0,0,0,0,0,True,False,False
-0.5339784295179938,-0.8677846863722299,0.4113708750430958,-0.7303882817903015,-0.42481055834806314,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.9351114290677269,2.7412483245458668,-2.066593743063949,-0.392992478188249,0,0,0,0,0,0,False,True,False
-0.6346107141512141,-0.9351114290677269,-0.15556597100257855,0.35239890234524035,-0.3611743980284349,0,0,0,0,0,0,True,False,False
-0.5842945718345897,-0.8677846863722299,-0.1633322291675878,-0.10836160154222432,-0.28162919762889954,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.9351114290677269,-0.25652732714769866,0.16809470079025432,-0.23390207738917831,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-0.9351114290677269,1.2501267568640935,-1.2717818738580728,-0.18617495714945712,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.9351114290677269,-0.6836715262232067,0.6058171794833462,-0.15435687698964295,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.8677846863722299,0.34924080972302185,-0.7303882817903015,-0.12253879682982882,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.9351114290677269,0.6210598454983451,-0.8570974203593544,-0.09072071667001469,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.9351114290677269,1.4598157273193428,-1.4215290376214984,-0.05890263651020055,0,0,0,0,0,0,False,False,True
-0.6346107141512141,-1.0024381717632622,-0.40408623228287416,0.029866549624015405,-0.011175516270479344,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.8677846863722299,-0.6681390098931882,0.49062705351148006,0.020642563889334796,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.8677846863722299,0.30264326073296643,0.08746161260994849,0.052460644049148936,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.8004579436766946,-1.6233887641893243,1.1817678093426771,0.08427872420896307,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.8677846863722299,0.20944816275285558,0.34087988974805356,0.1160968043687772,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.8677846863722299,1.6151408906195275,-1.2717818738580728,0.14791488452859133,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.9351114290677269,0.3181757770629849,-0.949249521136847,0.1797329646884055,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.9351114290677269,-1.4758298590541488,2.310631043866965,0.21155104484821963,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-0.9351114290677269,-0.823464173193373,0.6979692802608388,0.24336912500803376,0,0,0,0,0,0,False,True,False
-0.48366228720136945,-0.9351114290677269,0.5278647475182343,-0.2120327149169037,0.2751872051678479,0,0,0,0,0,0,False,True,False
-0.5339784295179938,-1.0024381717632622,0.3104095188979757,-0.7073502565959288,0.307005285327662,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-1.0697649144587975,-0.35748868329281874,0.07594260001276171,0.33882336548747616,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-1.0697649144587975,1.69280347226962,-1.4676050880102451,0.3706414456472903,0,0,0,0,0,0,False,True,False
-0.6346107141512141,-1.0697649144587975,-0.6060089445731143,0.3178418645536808,0.4024595258071044,0,0,0,0,0,0,False,False,True
-0.6346107141512141,-1.0697649144587975,-0.6914377843882159,1.055058670773624,0.4501866460468257,0,0,0,0,0,0,False,False,True
-0.5842945718345897,-1.0697649144587975,-1.1651795324537795,1.4467050990779688,0.4979137662865469,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-1.0024381717632622,1.4908807599793796,-1.3754529872327521,0.529731846446361,0,0,0,0,0,0,False,False,True
-0.6346107141512141,-1.0024381717632622,-0.7691003660383083,0.6058171794833462,0.5774589666860822,0,0,0,0,0,0,True,False,False
-0.6346107141512141,-0.9351114290677269,-1.7243501203344445,1.7116423888132608,0.6570041670856176,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.9351114290677269,-0.5438788792530405,1.0320206455792507,0.6888222472454317,0,0,0,0,0,0,True,False,False
-0.5842945718345897,-0.9351114290677269,-1.9495716071197122,1.7692374517991938,0.768367447644967,0,0,0,0,0,0,False,True,False
-0.5842945718345897,-0.9351114290677269,-0.062370873022467715,-0.5000080298465691,0.8001855278047811,0,0,0,0,0,0,False,True,False
-0.6346107141512141,-1.0024381717632622,0.19391564642283712,-0.6036791432212485,0.8320036079645953,0,0,0,0,0,0,False,True,False
-0.6849268564678099,-1.0697649144587975,2.0112200570349987,-1.4100100250243122,0.8638216881244094,0,0,0,0,0,0,False,False,True
-0.6849268564678099,-1.0697649144587975,-0.8700617221834284,1.1587297841483035,0.9115488083641307,0,0,0,0,0,0,True,False,False
-0.6849268564678099,-1.0697649144587975,-0.9943218528235762,0.2256897637761874,0.991094008763666,0,0,0,0,0,0,False,False,True
-0.7352429987844343,-1.0697649144587975,-0.04683835669244924,-0.7879833447762346,1.0388211290033873,0,0,0,0,0,0,False,True,False
-0.7352429987844343,-1.0697649144587975,0.7220212016434653,-0.5000080298465691,1.0706392091632013,0,0,0,0,0,0,True,False,False
-0.7855591411010587,-1.0697649144587975,-0.03130584036243077,-0.03924752595910446,1.1501844095627367,0,0,0,0,0,0,False,True,False
-0.8358752834176545,-1.1370916571542944,-1.087516950803687,0.8707544692186381,1.1820024897225507,0,0,0,0,0,0,False,False,True
-0.7855591411010587,-1.1370916571542944,-0.35748868329281874,-0.062285551153478017,1.229729609962272,0,0,0,0,0,0,False,True,False
-0.7855591411010587,-1.1370916571542944,-0.7535678497082898,0.26024680156774777,1.2615476901220861,0,0,0,0,0,0,False,True,False
-0.7855591411010587,-1.2044183998498297,-0.4351512649429111,-0.32722284088876985,1.2933657702819004,0,0,0,0,0,0,False,False,True
-0.7855591411010587,-1.2044183998498297,0.5045659730232066,0.06442358741557493,1.3410928905216215,0,0,0,0,0,0,False,False,True
-0.7855591411010587,-1.2044183998498297,2.5703906449156637,-1.5482381761905515,1.3888200107613426,0,0,0,0,0,0,False,True,False
-0.7855591411010587,-1.2044183998498297,0.06965551578268932,-0.4884890172493824,1.420638090921157,0,0,0,0,0,0,False,True,False
-0.7855591411010587,-1.2717451425453266,-0.1866310036626155,0.6403742172749057,1.5320013714805063,0,0,0,0,0,0,False,False,True
-0.7855591411010587,-1.2044183998498297,-0.3186573924677725,0.35239890234524035,1.5797284917202274,0,0,0,0,0,0,True,False,False
-0.7855591411010587,-1.2044183998498297,-0.15556597100257855,-0.05076653855629124,1.6592736921197628,0,0,0,0,0,0,False,False,True
