Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_H,Type_L,Type_M
-0.9523894433829583,-0.9473598877173782,0.14017979366855685,0.2840905706019339,-1.6959837443286896,0,0,0,0,0,0,False,False,True
-0.9023934097553371,-0.8799590021118496,-0.8208994581403156,0.6371221583139501,-1.648851700781283,0,0,0,0,0,0,False,True,False
-0.9523894433829583,-1.0147607733229451,-0.216024404554312,0.949807278858879,-1.6174303384163455,0,0,0,0,0,0,False,True,False
-0.9023934097553371,-0.9473598877173782,-0.6528786099219813,-0.04876778352653825,-1.5860089760514078,0,0,0,0,0,0,False,True,False
-0.9023934097553371,-0.8799590021118496,-0.8208994581403156,0.001665300432321206,-1.5545876136864702,0,0,0,0,0,0,False,True,False
-0.9523894433829583,-0.9473598877173782,-0.7066452813518483,0.193311019475987,-1.5231662513215327,0,0,0,0,0,0,False,False,True
-0.9523894433829583,-0.9473598877173782,0.18722563116969046,0.24374410343484648,-1.4760342077741262,0,0,0,0,0,0,False,True,False
-0.9523894433829583,-0.9473598877173782,-0.02112022062104414,0.021838534015865278,-1.4446128454091887,0,0,0,0,0,0,False,True,False
-0.8523973761276875,-0.8799590021118496,0.9197965294016283,-1.1482090138296743,-1.4131914830442511,0,0,0,0,0,0,False,False,True
-0.7524053088724167,-0.677756345295187,1.4171382401278978,-1.2087287145803058,-1.3660594394968446,0,0,0,0,0,0,False,False,True
-0.8024013425000663,-0.7451572309007539,1.6926924312059661,-1.6222800030429536,-1.3189273959494383,0,0,0,0,0,0,True,False,False
-0.7024092752447672,-0.61035545968962,-0.720086949209315,0.43538982247851227,-1.2403739900370943,0,0,0,0,0,0,True,False,False
-0.7024092752447672,-0.61035545968962,-1.2846369992229185,1.1212797643190013,-1.1618205841247502,0,0,0,0,0,0,False,False,True
-0.7024092752447672,-0.5429545740840913,1.4238590740566313,-1.006996378744868,-1.114688540577344,0,0,0,0,0,0,False,False,True
-0.7024092752447672,-0.5429545740840913,2.455507082117204,-2.0560045250891448,-1.0675564970299374,0,0,0,0,0,0,False,True,False
-0.7024092752447672,-0.5429545740840913,0.07969228830995648,0.84894111094116,-1.0361351346649998,0,0,0,0,0,0,False,True,False
-0.7024092752447672,-0.5429545740840913,-1.472820349227453,0.6673820086892662,-1.0047137723000623,0,0,0,0,0,0,False,False,True
-0.652413241617146,-0.5429545740840913,-0.8074577902828489,0.5665158407715473,-0.9575817287526558,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.5429545740840913,-1.5064245188711198,1.4642247352392455,-0.9104496852052494,0,0,0,0,0,0,True,False,False
-0.5524211743618752,-0.47555368847852436,0.6845673418959601,-0.7548309589505707,-0.8318962792929054,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.47555368847852436,-1.042686977788517,0.27400395381016257,-0.784764235745499,0,0,0,0,0,0,True,False,False
-0.6024172079894964,-0.47555368847852436,-0.5386244331335139,0.48582290643737175,-0.706210829833155,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.47555368847852436,0.3418048115305581,-0.9363900612024648,-0.6747894674682174,0,0,0,0,0,0,False,False,True
-0.5024251407342256,-0.4081528028729957,1.5313924169163653,-1.4407209007910595,-0.627657423920811,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.4081528028729957,0.20738813295589056,-0.27067335294552014,-0.5962360615558734,0,0,0,0,0,0,False,False,True
-0.5024251407342256,-0.3407519172674287,2.2236383115759026,-1.6827997037935847,-0.549104018008467,0,0,0,0,0,0,False,True,False
-0.452429107106576,-0.3407519172674287,-0.12193272955204475,-0.09920086748539772,-0.5176826556435293,0,0,0,0,0,0,False,True,False
-0.452429107106576,-0.4081528028729957,1.887596615139234,-1.55167368550055,-0.48626129327859174,0,0,0,0,0,0,True,False,False
-0.452429107106576,-0.4081528028729957,-0.612553606349581,0.42530320568674096,-0.40770788736624775,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.4081528028729957,1.094538211548696,-0.996909761953096,-0.37628652500131016,0,0,0,0,0,0,False,True,False
-0.452429107106576,-0.3407519172674287,-1.2846369992229185,0.8287678773576166,-0.34486516263637257,0,0,0,0,0,0,False,False,True
-0.5024251407342256,-0.4081528028729957,1.8002257740657002,-1.4608941343746031,-0.29773311908896616,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.4081528028729957,-0.7469702849242486,0.838854494149388,-0.26631175672402857,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.47555368847852436,0.9063548615441614,-0.7548309589505707,-0.23489039435909095,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,0.19394646509842384,-0.5329253895315887,-0.20346903199415334,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.5429545740840913,-0.5251827652760472,0.869114344524704,-0.15633698844674693,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.5429545740840913,0.3418048115305581,-0.33119305369615093,-0.10920494489934053,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.61035545968962,-0.612553606349581,-0.07902763390185365,-0.062072901351934134,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.5429545740840913,-1.0158036420735834,1.0809332971519139,-0.03065153898699653,0,0,0,0,0,0,True,False,False
-0.6024172079894964,-0.61035545968962,-1.2107078260068513,1.2624923994038078,0.04790186692534748,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,-1.130057818862051,0.5463426071880032,0.07932322929028508,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,-1.0897328152896506,1.0910199139436854,0.11074459165522269,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,-1.0897328152896506,0.9195474284835635,0.1421659540201603,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.5429545740840913,-1.0628494795747172,0.859027727732932,0.18929799756756668,0,0,0,0,0,0,True,False,False
-0.6024172079894964,-0.61035545968962,-0.3907660867013797,0.7581615598152132,0.2678514034799107,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.61035545968962,-0.27651190991291236,0.9195474284835635,0.3149834470273171,0,0,0,0,0,0,False,True,False
-0.652413241617146,-0.677756345295187,2.102663300858702,-1.4306342839992874,0.3464048093922547,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.61035545968962,-0.7536911188529819,0.6371221583139501,0.3935368529396611,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.5429545740840913,-0.7066452813518483,1.4037050344886142,0.4249582153045987,0,0,0,0,0,0,True,False,False
-0.5524211743618752,-0.5429545740840913,-0.7940161224253821,0.41521658889496893,0.5035116212169427,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.61035545968962,2.455507082117204,-2.741894466929632,0.5506436647643491,1,0,0,1,0,0,False,True,False
-0.5524211743618752,-0.61035545968962,-0.98892030635865,1.504571202406333,0.5820650271292868,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.677756345295187,-0.22274523848304537,0.38495673851965284,0.6134863894942243,0,0,0,0,0,0,True,False,False
-0.652413241617146,-0.677756345295187,0.23427146867082407,-0.49257892236450135,0.6920397954065683,0,0,0,0,0,0,False,True,False
-0.652413241617146,-0.677756345295187,1.0810965436912292,-0.996909761953096,0.723461157771506,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,-0.12193272955204475,0.07227161797472474,0.7548825201364435,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,-0.35716191705771283,0.24374410343484648,0.7863038825013812,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,-0.11521189562331137,0.031925150807636596,0.8177252448663187,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.677756345295187,0.8794715258292279,-1.0574294627037275,0.8491466072312563,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.61035545968962,-1.0225244760023169,1.4541381184474735,0.8962786507786628,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.61035545968962,-0.9217119670713163,1.2725790161955797,0.9277000131436004,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.677756345295187,0.41573398474662515,-0.17989380181957257,0.9591213755085379,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.677756345295187,2.008571625856435,-1.7231461709606726,1.0062534190559445,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.677756345295187,1.8943174490679675,-1.4205476672075157,1.037674781420882,0,0,0,0,0,0,False,False,True
-0.5024251407342256,-0.61035545968962,-0.04800355633597764,-0.13954733465248514,1.0848068249682883,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.61035545968962,-0.9149911331425828,0.5160827568126879,1.116228187333226,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.7451572309007539,1.0004465365464288,-1.1381223970379026,1.1476495496981636,0,0,0,0,0,0,False,False,True
-0.6024172079894964,-0.7451572309007539,-0.43109109027377995,0.41521658889496893,1.19478159324557,0,0,0,0,0,0,True,False,False
-0.6024172079894964,-0.7451572309007539,-0.02112022062104414,-0.7649175757423428,1.273334999157914,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.677756345295187,-0.8074577902828489,2.593925815917698,1.3047563615228517,1,0,0,1,1,0,False,True,False
-0.5524211743618752,-0.677756345295187,2.455507082117204,-1.7534060213359879,1.3361777238877892,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.61035545968962,-0.5251827652760472,0.5564292239797752,1.3833097674351955,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.61035545968962,-1.0830119813609171,0.4454764392702843,1.4147311298001333,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.61035545968962,0.41573398474662515,-0.5026655391562734,1.4461524921650708,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.677756345295187,0.4762214901052255,-0.7750041925341148,1.4775738545300083,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.7451572309007539,-1.0158036420735834,0.6774686254810383,1.508995216894946,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.7451572309007539,-0.4646952599174468,0.7985080269823005,1.5404165792598836,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.7451572309007539,-0.5050202634898471,0.13279131872535552,1.5718379416248212,1,1,0,0,0,0,False,True,False
-0.6024172079894964,-0.7451572309007539,-0.8881077974276493,1.1616262314860888,-1.6959837443286896,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.7451572309007539,-0.8612244617127159,-0.21015365219488868,-1.6645623819637518,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.8125581165062826,-0.5722286027771808,1.0002403628177383,-1.6331410195988143,0,0,0,0,0,0,True,False,False
-0.5524211743618752,-0.7451572309007539,-0.5386244331335139,0.7581615598152132,-1.5545876136864702,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.7451572309007539,-0.5184619313473138,0.08235823476649605,-1.5231662513215327,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.677756345295187,-0.41092858848757985,0.011751917224093241,-1.491744888956595,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.7451572309007539,-0.7268077831380484,0.7682481766069852,-1.4603235265916574,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.677756345295187,1.8405507776381005,-1.3297681160815684,-1.42890216422672,0,0,0,0,0,0,False,False,True
-0.5024251407342256,-0.677756345295187,-0.6327161081357812,0.39504335531142487,-1.3817701206793134,0,0,0,0,0,0,True,False,False
-0.5024251407342256,-0.677756345295187,0.09313395616742322,-0.8254372764929738,-1.3032167147669695,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.677756345295187,-0.7469702849242486,0.5261693736044599,-1.2717953524020318,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.7451572309007539,-0.2899535777703791,-0.04876778352653825,-1.2246633088546255,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.7451572309007539,1.4977882472726984,-1.4306342839992874,-1.177531265307219,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.7451572309007539,2.0152924597851682,-1.5214138351252346,-1.1461099029422814,0,0,0,0,0,0,False,True,False
-0.5524211743618752,-0.7451572309007539,1.3230465651256307,-1.2995082657062527,-1.114688540577344,0,0,0,0,0,0,False,False,True
-0.452429107106576,-0.677756345295187,-0.5386244331335139,0.304263804185478,-1.0675564970299374,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.7451572309007539,0.6173590026086264,-0.8153506597012022,-1.0361351346649998,0,0,0,0,0,0,False,True,False
-0.5024251407342256,-0.677756345295187,-1.2039869920781179,1.2322325490284922,-1.0047137723000623,0,0,0,0,0,0,False,False,True
-0.5024251407342256,-0.677756345295187,0.3014798079581578,-0.472405688780958,-0.9575817287526558,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.7451572309007539,1.4776257454864983,-1.01708299553664,-0.9104496852052494,0,0,0,0,0,0,False,False,True
-0.5524211743618752,-0.8125581165062826,-0.0076785527635773905,-0.7346577253670267,-0.863317641657843,0,0,0,0,0,0,False,True,False
-0.6024172079894964,-0.8125581165062826,-0.04800355633597764,0.4454764392702843,-0.8318962792929054,0,0,0,0,0,0,False,True,False
